NStudents,Resumptions,Entailments,Prunings,Backtracks,Constraints,TotalRuntime,Value
1,5679,3084,3915,24,879,15,5
2,16506,7011,9723,27,1476,3,10
3,29304,11928,16512,63,1974,5,12
4,112575,44454,59124,261,2973,21,26
5,83517,30879,42936,183,2040,18,26
6,259131,93519,127551,546,3225,24,88
7,1436106,505617,684897,3348,4512,127,59
8,5123046,1683003,2366652,7725,4734,303,65
9,14645655,4135029,6307500,18435,4794,746,26
10,28600404,8277741,12310992,36600,6636,1580,130
11,330917622,90522126,140429457,327267,8208,15772,195
12,169680606,44117190,70227783,184737,8361,8028,194
