Option                   ,Resumptions   ,Entailments   ,Prunings      ,Backtracks    ,Constraints   ,Total_runtime (ms)      ,Value    
leftmost        & step   ,100338039     ,37703424      ,49749564      ,127701        ,4629          ,16600                   ,63       
min             & step   ,12193881      ,4167276       ,5830224       ,17805         ,4629          ,1959                    ,63       
max             & step   ,36665184      ,11595660      ,16552911      ,47424         ,4629          ,5504                    ,63       
ff              & step   ,3031725       ,1019544       ,1398033       ,4974          ,4629          ,506                     ,63       
anti_first_fail & step   ,147918351     ,51898029      ,71368737      ,189279        ,4629          ,23283                   ,63       
occurrence      & step   ,4317534       ,1696083       ,2168625       ,7599          ,4629          ,851                     ,63       
ffc             & step   ,2453088       ,822039        ,1129014       ,4248          ,4629          ,391                     ,63       
max_regret      & step   ,100339413     ,37698624      ,49746951      ,127701        ,4629          ,15994                   ,63       

leftmost        & enum   ,105966762     ,39664332      ,52512510      ,130521        ,4629          ,16587                   ,63       
min             & enum   ,127023027     ,49822242      ,64220562      ,199623        ,4629          ,20074                   ,63       
max             & enum   ,38490258      ,12617589      ,17634009      ,58035         ,4629          ,5906                    ,63       
ff              & enum   ,3254973       ,1160406       ,1543089       ,6186          ,4629          ,515                     ,63       
anti_first_fail & enum   ,126949602     ,49778241      ,64173588      ,199575        ,4629          ,20376                   ,63       
occurrence      & enum   ,4348149       ,1720053       ,2191434       ,7752          ,4629          ,714                     ,63       
ffc             & enum   ,2629557       ,939129        ,1246998       ,5217          ,4629          ,452                     ,63       
max_regret      & enum   ,105968136     ,39659532      ,52509897      ,130521        ,4629          ,16794                   ,63       

leftmost        & bisect ,102040242     ,37951401      ,50328114      ,127581        ,4629          ,16511                   ,63       
min             & bisect ,10153653      ,3627885       ,4931547       ,15210         ,4629          ,1645                    ,63       
max             & bisect ,39484956      ,13906020      ,18577059      ,62577         ,4629          ,6199                    ,63       
ff              & bisect ,3032112       ,1046670       ,1409331       ,5322          ,4629          ,484                     ,63       
anti_first_fail & bisect ,149075145     ,55728441      ,73840086      ,209412        ,4629          ,24179                   ,63       
occurrence      & bisect ,4323915       ,1701147       ,2172285       ,7623          ,4629          ,852                     ,63       
ffc             & bisect ,2461749       ,857187        ,1146678       ,4602          ,4629          ,403                     ,63       
max_regret      & bisect ,102041475     ,37946601      ,50325501      ,127581        ,4629          ,16521                   ,63       

leftmost        & median ,157674027     ,58433673      ,77973861      ,190740        ,4629          ,25795                   ,63       
min             & median ,173154177     ,68997474      ,88552296      ,289314        ,4629          ,28175                   ,63       
max             & median ,72185274      ,25341882      ,34397001      ,106071        ,4629          ,11485                   ,63       
ff              & median ,3013167       ,1040286       ,1400553       ,5280          ,4629          ,484                     ,63       
anti_first_fail & median ,182304108     ,65433141      ,88839951      ,255828        ,4629          ,30196                   ,63       
occurrence      & median ,4331382       ,1702641       ,2174514       ,7689          ,4629          ,707                     ,63       
ffc             & median ,2450685       ,835863        ,1132455       ,4407          ,4629          ,396                     ,63       
max_regret      & median ,157675341     ,58428873      ,77971248      ,190740        ,4629          ,25608                   ,63       

leftmost        & middle ,157707666     ,58441356      ,77983821      ,190749        ,4629          ,25549                   ,63       
min             & middle ,173071575     ,68974710      ,88517301      ,289236        ,4629          ,28206                   ,63       
max             & middle ,72189024      ,25344300      ,34399641      ,106080        ,4629          ,11512                   ,63       
ff              & middle ,3013227       ,1039527       ,1400193       ,5253          ,4629          ,471                     ,63       
anti_first_fail & middle ,182323701     ,65436873      ,88845114      ,255828        ,4629          ,29689                   ,63       
occurrence      & middle ,4318014       ,1696746       ,2167596       ,7608          ,4629          ,697                     ,63       
ffc             & middle ,2451177       ,836073        ,1132752       ,4395          ,4629          ,481                     ,63       
max_regret      & middle ,157708926     ,58436556      ,77981208      ,190749        ,4629          ,25751                   ,63       
